date,pair,rate,return
2026-05-01,USD/CNY,6.827300071716309,
2026-05-04,USD/CNY,6.827499866485596,2.9264096669034956e-05
2026-05-05,USD/CNY,6.829999923706055,0.000366174627513427
2026-05-06,USD/CNY,6.830100059509277,1.4661171938712414e-05
2026-05-07,USD/CNY,6.810999870300293,-0.0027964728250784443
2026-05-08,USD/CNY,6.801400184631348,-0.001409438533511831
2026-05-11,USD/CNY,6.80049991607666,-0.00013236517926440428
2026-05-12,USD/CNY,6.7947998046875,-0.0008381900535995301
2026-05-13,USD/CNY,6.791999816894531,-0.0004120780410685754
2026-05-14,USD/CNY,6.790800094604492,-0.0001766375621882199
2026-05-15,USD/CNY,6.785099983215332,-0.0008393873048463396
2026-05-18,USD/CNY,6.809199810028076,0.003551874971976954
2026-05-19,USD/CNY,6.800000190734863,-0.0013510573268337156
2026-05-20,USD/CNY,6.814499855041504,0.0021323035146965097
2026-05-21,USD/CNY,6.80049991607666,-0.0020544338194513623
2026-05-22,USD/CNY,6.802499771118164,0.00029407471012188324
2026-05-25,USD/CNY,6.79449987411499,-0.0011760231197859294
2026-05-26,USD/CNY,6.79449987411499,0.0
2026-05-27,USD/CNY,6.785999774932861,-0.0012510264684103545
2026-05-28,USD/CNY,6.778800010681152,-0.0010609732523576554
2026-05-29,USD/CNY,6.7795000076293945,0.00010326266406135431
2026-06-01,USD/CNY,6.766200065612793,-0.0019617880377069685
2026-06-02,USD/CNY,6.764999866485596,-0.00017738156063351607
2026-06-03,USD/CNY,6.762199878692627,-0.0004138932517707694
2026-06-04,USD/CNY,6.769199848175049,0.0010351615758177335
